T 64/64 E:1.64698e+12, T:179878144, Cost:2.96255e+20 Ubuf/Buf/Bus/Mac:1.33258e+11/4.23542e+11/0/3.23155e+10 NoC(hops=89524557568, DRAM acc=9275428864) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 907809472
		encoder2_elt2 1 (H:3,W:1,B:1,K:1) util:100/100 E:7.93177e+07, T:12288, Cost:9.74656e+11 Ubuf/Buf/Bus/Mac:1.25779e+06/0/0/45859.7 NoC(hops=5505024, DRAM acc=786432) Buffer(max=185344, avg=185003) Buffer(max=0, avg=0) Buffer(max=175104, avg=174763) 524288/0/262144 Max NoC: 153216
		encoder3_K4 1 (H:6,W:1,B:1,K:1) util:100/100 E:1.17897e+07, T:2752, Cost:3.24453e+10 Ubuf/Buf/Bus/Mac:1.07844e+06/4.02369e+06/0/304349 NoC(hops=783296, DRAM acc=33280) Buffer(max=54272, avg=53930.7) Buffer(max=32768, avg=32768) Buffer(max=44032, avg=43690.7) 262144/32768/32768 Max NoC: 89512
		encoder3_K0 1 (H:6,W:1,B:1,K:1) util:100/100 E:1.38588e+07, T:2752, Cost:3.81393e+10 Ubuf/Buf/Bus/Mac:1.07844e+06/4.02369e+06/0/304349 NoC(hops=1152768, DRAM acc=33280) Buffer(max=54272, avg=53930.7) Buffer(max=32768, avg=32768) Buffer(max=44032, avg=43690.7) 262144/32768/32768 Max NoC: 87680
		encoder3_K1 1 (H:6,W:1,B:1,K:1) util:100/100 E:1.60473e+07, T:2752, Cost:4.4162e+10 Ubuf/Buf/Bus/Mac:1.07844e+06/4.02369e+06/0/304349 NoC(hops=1543568, DRAM acc=33280) Buffer(max=54272, avg=53930.7) Buffer(max=32768, avg=32768) Buffer(max=44032, avg=43690.7) 262144/32768/32768 Max NoC: 88672
		encoder3_Q 1 (H:43,W:1,B:1,K:1) util:100/100 E:8.8296e+07, T:4160, Cost:3.67311e+11 Ubuf/Buf/Bus/Mac:1.37473e+07/3.46312e+07/0/2.43479e+06 NoC(hops=3840768, DRAM acc=266240) Buffer(max=16384, avg=16336.4) Buffer(max=262144, avg=262144) Buffer(max=6144, avg=6096.37) 262144/262144/262144 Max NoC: 213248
	encoder3_K2 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	encoder3_Kt0 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	encoder3_Kt2 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	S 1/1 E:1.10759e+08, T:14872, Cost:1.6472e+12 Ubuf/Buf/Bus/Mac:5.00296e+06/1.28518e+07/0/931745 NoC(hops=6225632, DRAM acc=951808) Buffer(max=43008, avg=23552) Buffer(max=32768, avg=32768) Buffer(max=0, avg=0) Max NoC: 62016
		encoder3_Kt1 1 (W:1,H:1,B:1,K:1) util:100/100 E:6.59991e+06, T:1024, Cost:6.75831e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=458752, DRAM acc=65536) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 28672
